LC_X,LC_Y,LF_X_1,LF_X_2,LF_X_3,LF_X_4,LF_X_5,LF_Y_1,LF_Y_2,LF_Y_3,LF_Y_4,LF_Y_5,LD,RC_X,RC_Y,RF_X_1,RF_X_2,RF_X_3,RF_X_4,RF_X_5,RF_Y_1,RF_Y_2,RF_Y_3,RF_Y_4,RF_Y_5,RD,Gesture
-13,-9,-5,-1,-5,1,-3,-3,-5,-4,-2,-5,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-11,-5,-10,-4,-5,-5,-3,-1,-8,-1,-8,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-13,-3,-4,1,-7,-2,1,-2,-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-15,-5,-6,-3,-3,-2,-2,0,-3,0,1,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-19,-2,-2,-1,-5,0,-2,-5,-6,2,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-19,-2,-10,-1,-4,-2,-3,-1,0,-2,-1,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-15,-3,-8,-1,-4,0,-9,-3,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-7,-4,-3,1,-4,-1,1,-4,-1,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-19,-2,-8,-1,-10,0,-11,-1,-4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-12,-5,-5,-4,-1,2,0,-4,-2,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
-17,-2,-7,2,-5,2,-3,-3,-4,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveLeft
20,3,8,2,10,-3,3,-1,1,-1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
17,7,13,5,12,3,8,1,9,2,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
29,3,19,3,12,4,8,4,3,2,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
21,9,16,7,17,1,6,-1,12,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
20,6,10,-2,11,-4,3,1,-1,-2,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
28,4,18,0,18,2,11,2,8,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
23,5,17,2,15,-1,10,0,5,2,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
29,14,21,1,21,1,10,2,10,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
29,9,20,8,19,2,8,-1,10,2,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
19,9,15,2,14,0,8,7,6,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
27,9,13,4,15,3,13,5,5,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
24,7,12,3,13,3,5,-1,8,2,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
29,4,15,1,10,0,7,3,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
24,7,10,5,13,0,9,2,8,3,4,2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
26,10,21,1,20,-1,8,5,8,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
28,8,17,4,13,2,19,2,13,7,14,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
22,10,8,4,10,5,12,-2,10,1,2,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
23,16,14,7,15,6,16,9,17,6,11,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
29,10,10,-1,12,4,12,-3,13,0,8,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
29,8,20,0,21,5,20,2,19,1,19,-1,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
25,2,7,3,12,-1,15,-2,14,-2,13,1,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
22,-2,12,-2,5,1,8,0,5,-2,3,-2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
18,5,10,-1,6,-2,6,0,6,-1,5,0,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
27,14,12,4,12,4,12,0,12,2,7,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
29,16,15,6,14,3,15,4,15,6,14,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
28,7,13,-3,11,1,16,3,15,3,8,1,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
26,6,18,3,16,6,18,-1,16,-1,17,2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
27,8,19,6,20,3,21,4,19,4,19,2,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
22,-2,15,-5,14,-2,19,-1,19,-2,19,-3,-11,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
26,8,22,4,22,7,21,4,22,2,21,4,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
27,9,20,1,15,3,22,1,21,5,20,5,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
17,-3,12,-2,8,4,5,-4,11,-3,10,-3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
2,-1,1,3,-4,1,2,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
3,-4,-1,-1,0,-4,3,-5,3,2,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
16,-3,11,-3,9,-2,8,-3,7,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
11,-2,5,-1,4,-2,1,0,6,1,6,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MoveRight
